epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,193.89,1.88328,2.95535,1.97042,0.46151,0.38155,0.36406,0.15732,1.94312,2.23402,2.1619,0.000476058,0.000476058,0.000476058
2,319.013,1.80669,2.29135,1.90248,0.55845,0.4051,0.43889,0.19981,1.85939,2.03412,2.03626,0.000638103,0.000638103,0.000638103
3,442.968,1.70796,2.02204,1.83022,0.63597,0.47802,0.51528,0.25551,1.74949,1.75422,1.96199,0.000485767,0.000485767,0.000485767
