epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,157.183,1.85765,2.88767,1.98065,0.45266,0.37436,0.35976,0.14744,1.94651,2.21472,2.10398,0.000476058,0.000476058,0.000476058
2,258.403,1.79197,2.27299,1.91977,0.55992,0.44723,0.46894,0.20825,1.88965,1.97677,2.0837,0.000638103,0.000638103,0.000638103
3,360.792,1.69548,2.01093,1.83865,0.67175,0.50784,0.53688,0.2614,1.76519,1.7485,1.9747,0.000485767,0.000485767,0.000485767
